few;kingdom of laos: few hundreds casualties;http://dbpedia.org/ontology/causalties
total;408 total;http://dbpedia.org/ontology/causalties
lost;~100 ships lost;http://dbpedia.org/ontology/causalties
soviet;soviet casualties:;http://dbpedia.org/ontology/causalties
killed;722 killed;http://dbpedia.org/ontology/causalties
wounded;4 wounded;http://dbpedia.org/ontology/causalties
destroyed;1 helicopter and 1 transport aircraft destroyed;http://dbpedia.org/ontology/causalties
wounded;100 wounded;http://dbpedia.org/ontology/causalties
high;estimated very high;http://dbpedia.org/ontology/causalties
ground;ground forces;http://dbpedia.org/ontology/causalties
killed;907 killed;http://dbpedia.org/ontology/causalties
